Experiment,Vertexes,Density,Time(mcs)
1,20,0.7,406.27
2,20,0.7,413.42
3,20,0.7,462.77
4,20,0.7,509.26
5,20,0.7,473.98
6,20,0.7,418.42
7,20,0.7,479.94
8,20,0.7,477.55
9,20,0.7,481.84
10,20,0.7,478.27
11,20,0.7,436.31
12,20,0.7,475.41
13,20,0.7,449.9
14,20,0.7,465.15
15,20,0.7,449.66
16,20,0.7,455.38
17,20,0.7,409.36
18,20,0.7,417.23
19,20,0.7,407.22
20,20,0.7,440.84
21,40,0.7,3386.74
22,40,0.7,3364.56
23,40,0.7,3402.71
24,40,0.7,3349.3
25,40,0.7,3130.67
26,40,0.7,3397.7
27,40,0.7,3169.78
28,40,0.7,3222.94
29,40,0.7,3149.99
30,40,0.7,3281.35
31,40,0.7,3326.89
32,40,0.7,3569.84
33,40,0.7,3260.14
34,40,0.7,3332.14
35,40,0.7,3279.92
36,40,0.7,3570.56
37,40,0.7,3144.26
38,40,0.7,3359.79
39,40,0.7,3445.86
40,40,0.7,3512.86
41,60,0.7,11263.85
42,60,0.7,11844.87
43,60,0.7,11336.57
44,60,0.7,11353.73
45,60,0.7,10864.5
46,60,0.7,10643.96
47,60,0.7,10483.98
48,60,0.7,11073.35
49,60,0.7,11784.08
50,60,0.7,11782.41
51,60,0.7,10426.76
52,60,0.7,10946.04
53,60,0.7,10439.4
54,60,0.7,10483.74
55,60,0.7,11137.72
56,60,0.7,11557.1
57,60,0.7,11600.26
58,60,0.7,11331.32
59,60,0.7,11189.22
60,60,0.7,11753.56
61,80,0.7,27350.19
62,80,0.7,27112.72
63,80,0.7,25442.84
64,80,0.7,25514.13
65,80,0.7,25028.94
66,80,0.7,27926.21
67,80,0.7,28008.46
68,80,0.7,25374.65
69,80,0.7,26375.29
70,80,0.7,25384.9
71,80,0.7,27187.82
72,80,0.7,25783.54
73,80,0.7,26139.26
74,80,0.7,26728.87
75,80,0.7,27276.99
76,80,0.7,26846.89
77,80,0.7,27463.2
78,80,0.7,27410.75
79,80,0.7,26165.49
80,80,0.7,26227.0
81,100,0.7,52748.2
82,100,0.7,52541.73
83,100,0.7,53489.69
84,100,0.7,54313.42
85,100,0.7,58650.73
86,100,0.7,54350.61
87,100,0.7,53544.76
88,100,0.7,51018.0
89,100,0.7,52185.3
90,100,0.7,51760.2
91,100,0.7,50779.82
92,100,0.7,51591.63
93,100,0.7,50177.34
94,100,0.7,53742.65
95,100,0.7,50503.97
96,100,0.7,70306.3
97,100,0.7,51966.19
98,100,0.7,61931.13
99,100,0.7,55243.25
100,100,0.7,51539.42
101,120,0.7,87516.55
102,120,0.7,87357.52
103,120,0.7,92984.68
104,120,0.7,93730.69
105,120,0.7,91649.53
106,120,0.7,96652.51
107,120,0.7,90066.19
108,120,0.7,92446.09
109,120,0.7,90240.96
110,120,0.7,89195.97
111,120,0.7,86223.6
112,120,0.7,88341.47
113,120,0.7,91901.3
114,120,0.7,89165.21
115,120,0.7,88304.76
116,120,0.7,94267.37
117,120,0.7,89393.62
118,120,0.7,89424.13
119,120,0.7,94283.58
120,120,0.7,88930.61
121,140,0.7,141979.93
122,140,0.7,148206.95
123,140,0.7,138410.57
124,140,0.7,142215.49
125,140,0.7,141809.46
126,140,0.7,139877.8
127,140,0.7,136087.89
128,140,0.7,140160.32
129,140,0.7,138166.19
130,140,0.7,142040.73
131,140,0.7,143646.72
132,140,0.7,144885.78
133,140,0.7,144296.17
134,140,0.7,143796.92
135,140,0.7,147460.94
136,140,0.7,149980.07
137,140,0.7,145907.64
138,140,0.7,141947.51
139,140,0.7,141952.51
140,140,0.7,139229.06
141,160,0.7,208621.5
142,160,0.7,208512.07
143,160,0.7,220289.47
144,160,0.7,210202.22
145,160,0.7,217687.13
146,160,0.7,224348.07
147,160,0.7,214065.79
148,160,0.7,207066.54
149,160,0.7,213886.98
150,160,0.7,214678.05
151,160,0.7,216290.47
152,160,0.7,217205.05
153,160,0.7,212924.72
154,160,0.7,227862.83
155,160,0.7,205257.89
156,160,0.7,211586.48
157,160,0.7,212717.29
158,160,0.7,211903.81
159,160,0.7,212903.98
160,160,0.7,218560.7
161,180,0.7,304400.44
162,180,0.7,315413.95
163,180,0.7,303925.04
164,180,0.7,307817.7
165,180,0.7,307561.64
166,180,0.7,298270.46
167,180,0.7,314213.99
168,180,0.7,321937.32
169,180,0.7,306616.31
170,180,0.7,305084.23
171,180,0.7,302991.15
172,180,0.7,301433.09
173,180,0.7,308541.3
174,180,0.7,305098.06
175,180,0.7,311866.76
176,180,0.7,303714.99
177,180,0.7,299886.23
178,180,0.7,310815.1
179,180,0.7,309966.09
180,180,0.7,299222.47
181,200,0.7,411494.02
182,200,0.7,414206.03
183,200,0.7,410530.57
184,200,0.7,421879.77
185,200,0.7,403288.84
186,200,0.7,417013.88
187,200,0.7,423325.3
188,200,0.7,422064.54
189,200,0.7,417176.01
190,200,0.7,419545.89
191,200,0.7,408042.91
192,200,0.7,410406.35
193,200,0.7,424944.88
194,200,0.7,415490.87
195,200,0.7,417942.76
196,200,0.7,410635.23
197,200,0.7,429110.05
198,200,0.7,415736.2
199,200,0.7,424664.26
200,200,0.7,423221.59
